endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/db/CCFC,Convection Coefficient Functions,"DELETE,GET,POST,PUT",success,,,0,0.0888,
/db/CGLP,Change General Link Property,"DELETE,GET,POST,PUT",success,,,0,0.1022,
/db/CLDR,Define Constraints Label Direction,"GET,POST,PUT",success,,,0,0.0745,
/db/CLWP,Plate Cutting Line Diagram,"DELETE,GET,POST,PUT",success,,,0,0.0926,
/db/CMCS,Camber for Construction Stage,"DELETE,GET,POST,PUT",error,404,MidasNotFoundError,,0.0828,GET and /info both returned 404.
/db/CNLD,Nodal Loads,"DELETE,GET,POST,PUT",success,,,0,0.0817,
/db/CONS,Constraint Support,"DELETE,GET,POST,PUT",success,,,0,0.1,
/db/CO_F,Floor Load Color,"GET,PUT",success,,,0,0.0941,
/db/CO_M,Material Color,"GET,PUT",success,,,0,0.0891,
/db/CO_S,Section Color,"GET,PUT",success,,,0,0.0999,
/db/CO_T,Thickness Color,"GET,PUT",success,,,0,0.0783,
/db/CRPC,Creep Coefficient for Construction Stage,"DELETE,GET,POST,PUT",success,,,0,0.0912,
/db/CSCS,Composite Section for Construction Stage,"DELETE,GET,POST,PUT",success,,,0,0.0936,
/db/CUTL,Cutting Line,"DELETE,GET,POST,PUT",success,,,0,0.0929,
/db/DCON,RC Design Code,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/db/DCTL,Definition of Frame,"DELETE,GET,POST,PUT",success,,,0,0.0925,
/db/DOEL,Domain-Element,"DELETE,GET,POST,PUT",success,,,0,0.119,
/db/DRLS,Diaphragm Disconnect,"DELETE,GET,POST,PUT",success,,,0,0.0921,
/db/DSTL,Steel Design Code,"DELETE,GET,POST,PUT",success,,,0,0.0812,
/db/EDMP,Change Property,"DELETE,GET,POST,PUT",success,,,0,0.0912,
/db/EFCT,Small Displacement - Initial Force Control Data,"DELETE,GET,POST,PUT",success,,,0,0.0783,
/db/EIGV,Eigenvalue Analysis Control,"DELETE,GET,POST,PUT",success,,,0,0.0906,
/db/ELEM,Element,"DELETE,GET,POST,PUT",success,,,0,0.0894,
/db/ELNK,Elastic Link,"DELETE,GET,POST,PUT",success,,,0,0.1136,
/db/EPMT,Plastic Material,"DELETE,GET,POST,PUT",success,,,0,0.0962,
/db/EPSE,Seismic Earth Pressure,"DELETE,GET,POST,PUT",success,,,0,0.0926,
/db/EPST,Static Earth Pressure,"DELETE,GET,POST,PUT",success,,,0,0.0937,
/db/ESSF,Element Stiffness Scale Factor,"DELETE,GET,POST,PUT",success,,,0,0.0964,
/db/ETFC,Ambient Temperature Functions,"DELETE,GET,POST,PUT",success,,,0,0.0892,
